ID,Sex,Age_mean,C2,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,L1,L2,L3,L4,L5,Sum_Verts
korea1,M,21,41.61,12.92,12.9,12.98,14.43,16.62,18.34,19.6,18.53,19.84,21.47,21.57,21.65,21.3,22.17,23.13,23.44,25.25,26.2,27.13,27.29,28.76,29.45,506.58
korea2,M,21,37.56,13.35,12.73,12.64,12.69,14.7,16.89,18.72,18.65,18.46,19.51,19.86,19.72,19.64,20.92,20.44,21.27,23.78,24.05,22.85,24.54,24.82,25.11,462.9
korea3,M,21,36.63,14.61,13.09,11.88,11.79,13.29,15.99,17.39,20.39,17.06,19.19,21.15,21.7,22.1,22.33,23.71,24.18,25.39,26.44,28.41,29.44,29.71,30.41,496.28
korea4,F,40,36.23,12.59,10.64,11.59,10.73,13.42,14.79,16.88,16.62,16.86,17.39,18.61,19.6,19.62,19.87,20.38,20.88,22.41,22.05,24.47,24.36,24.5,24.2,438.69
korea5,M,50,39.38,13.19,13.23,13.75,13.32,17.65,17.9,21.06,20.57,20.6,20.92,21.24,22.25,22.4,22.36,22,21.85,23.38,24.5,25.56,27.22,28.49,29.05,501.87
korea6,F,50,33.16,11.61,11.19,9.48,10.4,13.67,15.3,16.32,16.44,16.85,17.53,17.98,18.38,17.96,18.91,19.02,20.2,19.17,21.9,23.17,23.31,23.76,22.47,418.18
korea7,M,42.5,36.86,15.82,15.36,14.36,13.5,15.85,17.12,18.67,19.33,20.21,19.71,20.26,20.59,20.47,21.8,22.04,22.26,23.97,24.87,24.68,26.15,27.15,27.41,488.44
korea8,F,30,34.61,12.59,12.86,13.4,12.66,13.58,15.17,16.71,16.59,16.71,17.39,17.26,18.6,18.86,20.73,20.73,20.04,22.55,23.99,24.48,24.65,24.46,23.97,442.59
korea9,F,25,34.3,11.22,9.56,11.86,10.1,13.36,14.72,15.9,15.96,16.09,16.32,16.86,17.01,17.78,18.25,19.37,19.68,21.32,23.28,23.32,24.15,24.82,24.59,419.82
korea10,M,50,38.36,14.88,13.4,13.52,12.82,15.45,18.35,18.68,19.73,19.45,20.29,21.17,21.83,22.33,21.85,22.91,23.16,24.94,25.82,26.96,27.01,27.78,26.82,497.51
korea11,M,55,41.15,12.79,13.73,12.9,11.43,12.98,16.67,18.25,17.44,19.67,20.01,19.52,16.39,20.21,20.72,21.92,22.69,24.82,26.22,25.89,27.68,26.58,28.75,478.41
korea12,F,55,36.12,11.95,12.8,12.2,11.5,13.39,14.91,16.1,16.27,16.27,17.12,16.77,17.22,17.81,18.78,19.27,20,21.4,22.74,24.42,26.1,24.48,24.71,432.33
korea13,M,21,37.32,14.33,12.74,14.52,13.5,14.85,17.86,18.55,17.81,17.41,18.29,19.08,19.77,20.53,21.4,21.6,22.14,22.4,23.95,24.92,25.06,25.26,26.19,469.48
korea14,F,60,37.17,11.19,12.04,11.72,12.75,13.92,15.92,16.38,16.28,17.09,16.84,17.86,18.24,19.16,19.88,19.75,20.6,22.08,22.98,24.06,25.89,24.05,23.29,439.14
korea15,M,50,37.46,12.55,12.31,12.18,12.92,14.81,17.96,17.37,16.58,18.2,18.94,19.43,20.52,20.14,22.5,24.18,25.72,26.36,26.35,27.07,27.29,27.52,26.35,484.71
korea16,F,21,32.31,13.06,12.49,12.5,12.18,14.07,15.07,16.66,16.29,17.31,18.5,17.09,18.38,18.18,19.55,19.4,21.37,22.04,22.81,23.36,24.5,25.65,26.18,438.95
korea17,M,32.5,39.85,13.64,13.25,14.43,15.11,15.97,17.05,19.27,18.22,19.43,19.74,20.36,20.14,19.86,21.36,21.86,22.77,24.09,26.83,27.19,28.52,29.22,28.96,497.12
korea18,F,32.5,35.77,13.33,13.32,13.17,12.61,14.34,15.76,18.18,17.92,18.71,19.34,20.51,20.49,21.71,21.78,21.45,22.29,23.17,24.53,26.74,27.72,28.59,27.07,478.5
korea19,F,21,33.19,11.76,12.04,12.14,11.61,13.85,15.54,16.84,17.33,17.46,18.21,18.28,19.29,19.79,20.39,21.32,22.85,24.44,26.78,25.21,25.09,27.4,27.99,458.8
korea20,M,35,36.92,14.39,12.27,12.53,13.7,15.79,17.49,18.16,17.88,18.81,19.34,19.92,19.57,20.72,20.41,21.71,21.72,23.25,25.51,25.85,26.93,27.18,27.11,477.16
korea21,M,27.5,36.48,15.29,12.83,13.38,14.09,14.56,19.33,18.02,18.09,16.82,17.24,18.76,18.88,19.48,21.04,21.99,22.38,23.72,25.12,21.03,27.14,28.34,27.34,471.35
korea22,M,50,40.09,13.57,11.86,11.28,12.1,14.76,18.69,19.92,17.64,17.72,18.81,20.06,20.42,20.37,21.53,22.69,22.27,23.57,24.36,25.25,27.26,28.95,27.87,481.04
korea23,M,45,37.69,15.22,13.34,12.89,13.44,14.47,17.66,19.53,20.57,18.51,19.01,18.94,19.89,19.62,20.11,20.73,22.13,23.2,22.87,23.52,24.5,25.42,26.09,469.35
korea24,F,23.5,32.27,13.41,11.21,10.52,10.66,13.56,14.25,16.13,16.48,16.73,16.08,17.34,17.34,18.17,17.84,18.81,20.18,22.75,23.61,24.32,25,23.41,23.6,423.67
korea25,F,21,36.04,12.75,12.36,11.54,11.67,14.37,16.04,16.79,16.51,18.34,19.88,18.06,18.43,18.58,20.87,21.34,21.95,23.22,23.84,24.79,25.59,27.53,26.5,456.99
korea26,M,45,38.63,14.33,13.68,13.22,14.96,16.2,17.31,19.57,19.1,18.88,19.18,19.6,21.16,19.78,20.6,19.42,22.12,23.15,24.38,24.5,25.63,27.1,26.32,478.82
korea27,M,55,38.6,13.96,13.75,13.71,13.04,14.67,17.41,18.71,18.91,17.9,18.92,18.97,20.43,19.81,20.66,20.8,21.81,23.46,25.86,24.57,25.7,28.19,30.28,480.12
korea28,F,50,37.8,13.32,12.95,11.28,11.31,13.44,14.89,17.35,17.61,17.43,17.76,16.86,18.96,20.06,20.38,20.88,21.04,23.87,22.58,23.88,23.84,23.18,25.29,445.96
korea29,F,32.5,35.73,13.12,13,12.75,13.04,14.2,15.95,17.41,17.64,18.43,19.03,19.66,20.45,17.74,18.44,20.13,21.13,23.89,24.56,24.39,25.54,26.22,27.31,459.76
korea30,F,30,33.98,15.07,13.95,13.18,12.62,15.65,17.78,20.7,19.5,19.44,19.78,20.81,18.75,21.85,21.32,21.84,22.74,23.65,25.04,25.55,26.32,27.88,27.47,484.87
korea31,M,55,41.24,14.79,14.56,13.5,14.24,15.59,17.83,19.09,19.01,19.03,18.87,18.85,19.25,19.72,20.04,22.11,23.43,25.96,25.09,26.31,27.22,28.27,26.11,490.11
korea32,M,35,38.16,14.24,13.12,12.2,13.88,16.02,18.66,18.96,19.2,18.89,19.81,19.31,21.42,21.09,21.16,22.44,23.83,25.21,26.22,26.31,27.48,28.35,28.18,494.14
korea33,F,55,34.26,11.77,10.94,11.46,12.18,14.73,14.99,16.88,17.67,17.73,19,18.97,19.78,19.24,19.35,19.77,17.7,23.07,24.39,24.71,24.48,24.78,23.84,441.69
korea34,M,32.5,39.96,14.8,14.93,15.5,13.58,14.49,17.09,18.66,20.04,20.31,20.6,19.51,22.04,22.42,22.24,23.66,24.54,25.01,26.87,28.3,28.77,28.05,28.39,509.76
korea35,F,50,32.23,11.62,12.04,11.89,12.62,15.25,16.82,16.1,17.89,18.03,18.13,18.57,19.97,19.37,20.33,20.21,21.24,21.39,23.96,24.68,25.74,26.27,27.56,451.91
korea36,F,50,34.84,11.42,11.53,11.62,12.93,14.44,14.99,16.8,17.08,17.06,17.64,17.76,17.78,18.08,19.04,19.6,21.56,23.55,23.11,25.31,24.13,23.4,20.99,434.66
